"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order_date","recency","total_orders","total_sales","total_quantity","total_products","lifespan","avg_order_value","avg_monthly_spend"
1,AW00011000,Jon Yang,54,"50 and above",VIP,"2013-05-03",148,3,8249,8,8,28,2749.666666666666,294.607142857142
2,AW00011001,Eugene Huang,49,"40-49",VIP,"2013-12-10",141,3,6384,11,10,35,2128.000000000000,182.400000000000
3,AW00011002,Ruben Torres,54,"50 and above",VIP,"2013-02-23",151,3,8114,4,4,25,2704.666666666666,324.560000000000
4,AW00011003,Christy Zhu,52,"50 and above",VIP,"2013-05-10",148,3,8139,9,9,29,2713.000000000000,280.655172413793
5,AW00011004,Elizabeth Johnson,46,"40-49",VIP,"2013-05-01",148,3,8196,6,6,28,2732.000000000000,292.714285714285
6,AW00011005,Julio Ruiz,49,"40-49",VIP,"2013-05-02",148,3,8121,6,6,29,2707.000000000000,280.034482758620
7,AW00011006,Janet Alvarez,49,"40-49",VIP,"2013-05-14",148,3,8119,5,5,28,2706.333333333333,289.964285714285
8,AW00011007,Marco Mehta,56,"50 and above",VIP,"2013-03-19",150,3,8211,8,8,26,2737.000000000000,315.807692307692
9,AW00011008,Rob Verhoff,50,"50 and above",VIP,"2013-03-02",150,3,8106,7,7,26,2702.000000000000,311.769230769230
10,AW00011009,Shannon Carlson,56,"50 and above",VIP,"2013-05-09",148,3,8091,5,5,28,2697.000000000000,288.964285714285
11,AW00011010,Jacquelyn Suarez,56,"50 and above",VIP,"2013-05-23",148,3,8088,4,4,28,2696.000000000000,288.857142857142
12,AW00011011,Curtis Lu,56,"50 and above",VIP,"2013-03-19",150,3,8133,4,4,27,2711.000000000000,301.222222222222
13,AW00011012,Lauren Walker,46,"40-49",New,"2013-10-15",143,2,81,5,5,7,40.500000000000,11.571428571428
14,AW00011013,Ian Jenkins,46,"40-49",New,"2014-01-21",140,2,114,5,5,9,57.000000000000,12.666666666666
15,AW00011014,Sydney Bennett,52,"50 and above",New,"2013-04-30",149,2,138,6,5,1,69.000000000000,138.000000000000
16,AW00011015,Chloe Young,41,"40-49",New,"2013-01-18",152,1,2501,3,3,0,2501.000000000000,2501.000000000000
17,AW00011016,Wyatt Hill,41,"40-49",New,"2013-02-09",151,1,2332,3,3,0,2332.000000000000,2332.000000000000
18,AW00011017,Shannon Wang,76,"50 and above",VIP,"2013-10-14",143,3,6434,4,4,33,2144.666666666666,194.969696969696
19,AW00011018,Clarence Rai,70,"50 and above",VIP,"2013-10-24",143,3,6533,7,7,33,2177.666666666666,197.969696969696
20,AW00011019,Luke Lal,42,"40-49",New,"2014-01-12",140,17,880,33,20,11,51.764705882352,80.000000000000
21,AW00011020,Jordan King,41,"40-49",New,"2012-12-29",153,1,2317,2,2,0,2317.000000000000,2317.000000000000
22,AW00011021,Destiny Wilson,41,"40-49",New,"2013-01-23",152,1,2372,3,3,0,2372.000000000000,2372.000000000000
23,AW00011022,Ethan Zhang,41,"40-49",New,"2013-01-20",152,1,2322,2,2,0,2322.000000000000,2322.000000000000
24,AW00011023,Seth Edwards,41,"40-49",New,"2014-01-14",140,2,122,6,6,11,61.000000000000,11.090909090909
25,AW00011024,Russell Xie,41,"40-49",New,"2013-07-26",146,2,56,6,5,1,28.000000000000,56.000000000000
26,AW00011025,Alejandro Beck,74,"50 and above",VIP,"2013-10-25",143,3,6577,6,6,33,2192.333333333333,199.303030303030
27,AW00011026,Harold Sai,74,"50 and above",VIP,"2013-10-15",143,3,6575,7,7,33,2191.666666666666,199.242424242424
28,AW00011027,Jessie Zhao,73,"50 and above",VIP,"2013-10-24",143,3,6591,9,9,33,2197.000000000000,199.727272727272
